,timestamp,LatAcc,LongAcc,YawRate,SteeringAng,BrkPed,WheelVelR,WheelVelL,TrnsShft,VehSpd,ThrPstn
0,0, , , ,-2.4375, , , , , , 
1,0.05, , , , ,0.392157, , , , , 
2,0.1, , , , , ,4.488,4.492, , , 
3,0.15,0.125,-0.3125, , , , , , , , 
4,0.2, , ,-0.456, , , , , , , 
5,0.25, , , , , , , ,4, , 
6,0.3, , , ,-2.4375, , , , , , 
7,0.35, , , , ,0.392157, , , , , 
8,0.4, , , , , ,4.492,4.496, , , 
9,0.45,0.1875,-0.25, , , , , , , , 
10,0.5, , ,-0.432, , , , , , , 
11,0.55, , , ,-2.4375, , , , , , 
12,0.6, , , , , , , ,4, , 
13,0.65, , , , ,0.392157, , , , , 
14,0.7, , , , , ,4.496,4.5, , , 
15,0.75,0.1875,-0.1875, , , , , , , , 
16,0.8, , ,-0.432, , , , , , , 
17,0.85, , , , ,0.392157, , , , , 
18,0.9, , , ,-2.4375, , , , , , 
19,0.95,0.125,-0.1875, , , , , , , , 
20,1, , , , , ,4.488,4.5, , , 
21,1.05, , ,-0.432, , , , , , , 
22,1.1, , , , , , , ,4, , 
23,1.15, , , , , , , , , , 
24,1.2, , , ,-2.4375, , , , , , 
25,1.25, , , , ,0.392157, , , , , 
26,1.3, , , , , ,4.488,4.492, , , 
27,1.35,0.125,-0.1875, , , , , , , , 
28,1.4, , ,-0.432, , , , , , , 
29,1.45, , , , , , , , , ,0.392157
30,1.5, , , , , , , ,4, , 
31,1.55, , , ,-2.4375, , , , , , 
32,1.6, , , , ,0.392157, , , , , 
33,1.65, , , , , ,4.488,4.5, , , 
34,1.7,0.125,-0.1875, , , , , , , , 
35,1.75, , ,-0.432, , , , , , , 
36,1.8, , , , , , , ,4, , 
37,1.85, , , ,-2.4375, , , , , , 
38,1.9, , , , ,0.392157, , , , , 
39,1.95, , , , , ,4.488,4.492, , , 
40,2,0.1875,-0.25, , , , , , , , 
41,2.05, , ,-0.384, , , , , , , 
42,2.1, , , ,-2.4375, , , , , , 
43,2.15, , , , ,0.392157, , , , , 
44,2.2, , , , , , , ,4, , 
45,2.25, , , , , ,4.488,4.492, , , 
46,2.3,0.25,-0.25, , , , , , , , 
47,2.35, , ,-0.384, , , , , , , 
48,2.4, , , , ,0.392157, , , , , 
49,2.45, , , ,-2.5, , , , , , 
50,2.5, , , , , ,4.488,4.496, , , 
51,2.55,0.1875,-0.25, , , , , , , , 
52,2.6, , ,-0.384, , , , , , , 
53,2.65, , , , , , , ,4, , 
54,2.7, , , ,-2.4375, , , , , , 
55,2.75, , , , ,0.392157, , , , , 
56,2.8, , , , , ,4.492,4.496, , , 
57,2.85,0.125,-0.25, , , , , , , , 
58,2.9, , ,-0.408, , , , , , , 
59,2.95, , , , , , , ,4, , 
60,3, , , ,-2.5, , , , , , 
61,3.05, , , , ,0.392157, , , , , 
62,3.1, , , , , ,4.492,4.5, , , 
63,3.15,0.125,-0.25, , , , , , , , 
64,3.2, , ,-0.432, , , , , , , 
65,3.25, , , , , , , ,4, , 
66,3.3, , , ,-2.5, , , , , , 
67,3.35, , , , ,0.392157, , , , , 
68,3.4, , , , , ,4.492,4.496, , , 
69,3.45,0.1875,-0.1875, , , , , , , , 
70,3.5, , ,-0.408, , , , , , , 
71,3.55, , , ,-2.5, , , , , , 
72,3.6, , , , ,0.392157, , , , , 
73,3.65, , , , , , , ,4, , 
74,3.7, , , , , ,4.492,4.484, , , 
75,3.75,0.1875,-0.1875, , , , , , , , 
76,3.8, , ,-0.336, , , , , , , 
77,3.85, , , , ,0.392157, , , , , 
78,3.9, , , ,-2.5, , , , , , 
79,3.95, , , , , ,4.492,4.488, , , 
80,4,0.1875,-0.25, , , , , , , , 
81,4.05, , ,-0.288, , , , , , , 
82,4.1, , , , , , , ,4, , 
83,4.15, , , , , , , , ,41.578125, 
84,4.2, , , ,-2.5, , , , , , 
85,4.25, , , , ,0.392157, , , , , 
86,4.3, , , , , ,4.488,4.48, , , 
87,4.35,0.1875,-0.25, , , , , , , , 
